Family Studies 12,FM 12,Module 1- Families in Society,Section 3 - Facing Family Challenges,Care for a Special Needs Child,https://specialchildren.about.com/od/gettingadiagnosis/p/whatare.htm,200,
Business Computer Applications 11,BCA 11,Unit 1 - Introduction,1-5 Keyboarding,Keyboarding,https://keybr.com,200,
Business Computer Applications 11,BCA 11,Unit 1 - Introduction,1-5 Keyboarding,Keyboarding,https://www.youtube.com/embed/SbB_fB4I74Y?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 1 - Introduction,1-5 Keyboarding,Keyboarding,https://www.youtube.com/embed/YWzKsAdfaFo?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Introduction,https://www.bclearningnetwork.com/LOR/media/BCA11/images/openoffice.png,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Introduction,https://www.openoffice.org/,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Introduction,https://www.bclearningnetwork.com/LOR/media/BCA11/images/arrow.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Introduction,https://www.tutorialsforopenoffice.org/,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Starting with the word processor,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/keyboarding.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.youtube.com/embed/v3rBOAVIcCk?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.youtube.com/embed/oGrwW_llqNI?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.youtube.com/embed/wRRfGCfyBB4?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.bclearningnetwork.com/LOR/media/BCA11/images/Your_turn.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/cut_and_paste.odt,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/Character_formatting.odt,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/paragraph_formatting.odt,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 2,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/paragraph_formatting.pdf,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 3,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/wp-tabs/wp-tabs.htm,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-1 Word Processing,Tier 3,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/question2.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/letter.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/images/arrow.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/letter-format/letter-format.htm,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/images/arrow.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/Unit2/letter-spacing/letter-spacing.htm,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/images/arrow.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://owl.english.purdue.edu/owl/resource/653/01/,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.youtube.com/embed/sDHlWUE3lYM?rel=0,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/images/complaint.pdf,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/images//congrats.pdf,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://www.bclearningnetwork.com/LOR/media/BCA11/images/thanks.pdf,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The business letter,https://en.wikibooks.org/wiki/Professional_and_Technical_Writing/Business_Communications,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,Sample and tips,https://www.bclearningnetwork.com/LOR/media/BCA11/images/letter2.jpg,200,
Business Computer Applications 11,BCA 11,Unit 2 - Software,2-2 Using the word processor,The memo,https://www.bclearningnetwork.com/LOR/media/BCA11/images/memo.jpg,200,
